CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,57.2908292682927
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.1778780487805
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.4243902439025
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.4421951219512
Faeroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.3
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.9179268292683
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.8317073170732
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.9682926829268
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.3340731707317
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,63.8435853658537
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,59.9992682926829
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.079512195122
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.0439024390244
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.1420731707317
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.6341463414634
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.1935609756098
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,78.872512195122
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.4863902439024
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,58.216487804878
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,54.8384146341464
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,66.3100243902439
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.4011463414634
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,72.9428536585366
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,83.8317073170732
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.2682926829268
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,83.1170731707317
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,67.6604146341463
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,68.7046097560976
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.1259756097561
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.4716829268293
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.0439024390244
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.0560975609756
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.290243902439
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.4689268292683
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,83.3319512195122
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.9014146341463
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.45
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.9537804878049
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.7665853658537
"Korea, Dem. Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.7919512195122
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.459756097561
Kosovo,KSV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.7975609756098
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.462756097561
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,70.2024390243902
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.687243902439
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.9804878048781
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.1288780487805
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,49.3314634146342
